age,sex,education,workclass,hours-per-week,marital-status,occupation,skills,interests,income
56,Male,Masters,Unemployed,31,Divorced,Doctor,Excel,Technology,158365
46,Male,PhD,Government,55,Married,Doctor,Public Speaking,Education,162000
32,Male,PhD,Freelancer,40,Divorced,Artist,Python,Health,81901
60,Male,High School,Self-employed,25,Married,Technician,Excel,Science,42685
25,Female,Masters,Freelancer,22,Widowed,Teacher,Leadership,Health,82094
38,Female,Bachelors,Freelancer,29,Single,Technician,Excel,Science,77088
56,Male,Masters,Government,24,Single,Teacher,Communication,Science,86765
36,Male,High School,Unemployed,45,Widowed,Manager,C++,Technology,60103
40,Male,PhD,Freelancer,40,Married,Teacher,Excel,Education,96876
28,Male,PhD,Unemployed,45,Married,Doctor,Data Analysis,Science,162383
28,Male,High School,Private,57,Married,Engineer,C++,Education,49697
41,Female,Bachelors,Unemployed,45,Married,Salesperson,Leadership,Science,66141
53,Female,PhD,Self-employed,27,Widowed,Engineer,C++,Education,113486
57,Female,Diploma,Self-employed,24,Single,Engineer,Excel,Health,61567
41,Female,PhD,Freelancer,34,Divorced,Engineer,Excel,Technology,148393
20,Male,Diploma,Unemployed,35,Divorced,Salesperson,Data Analysis,Science,55988
39,Male,High School,Freelancer,20,Single,Technician,Python,Art,42632
19,Male,High School,Government,35,Widowed,Salesperson,Data Analysis,Education,45571
41,Male,PhD,Self-employed,56,Divorced,Technician,Excel,Education,134852
61,Male,Masters,Freelancer,22,Single,Salesperson,Public Speaking,Art,66214
47,Female,Diploma,Government,50,Widowed,Salesperson,C++,Technology,61728
55,Male,Bachelors,Freelancer,32,Divorced,Teacher,Data Analysis,Education,64755
19,Female,PhD,Unemployed,35,Married,Technician,Data Analysis,Technology,112332
38,Female,Bachelors,Unemployed,40,Married,Teacher,Public Speaking,Education,51731
50,Female,PhD,Unemployed,21,Widowed,Manager,Public Speaking,Business,212919
29,Female,Masters,Unemployed,46,Married,Teacher,Public Speaking,Education,70097
39,Male,Masters,Private,57,Widowed,Engineer,Python,Business,87895
61,Female,Masters,Government,45,Single,Artist,Excel,Science,56611
42,Female,Masters,Government,57,Single,Artist,Excel,Technology,76882
44,Female,High School,Unemployed,44,Divorced,Doctor,Leadership,Education,83319
59,Male,High School,Private,30,Widowed,Doctor,Python,Health,89828
45,Male,Diploma,Unemployed,27,Divorced,Teacher,Leadership,Health,54594
33,Male,Bachelors,Private,27,Divorced,Salesperson,Leadership,Art,66956
32,Female,PhD,Unemployed,52,Single,Salesperson,Leadership,Health,130817
64,Female,PhD,Self-employed,26,Divorced,Artist,Communication,Business,85627
61,Male,High School,Self-employed,57,Married,Engineer,Leadership,Health,57165
20,Female,PhD,Freelancer,40,Divorced,Technician,Data Analysis,Health,135811
