age,sex,education,workclass,hours-per-week,marital-status,occupation,skills,interests,income
20,Female,Masters,Self-employed,26,Single,Data Scientist,Data Analysis,Technology,65159
29,Male,Diploma,Self-employed,40,Widowed,Cloud Architect,Node.js,Technology,40204
47,Female,Diploma,Private,34,Single,Software Engineer,DevOps,Technology,63147
24,Female,PhD,Unemployed,47,Married,Cloud Architect,Communication,Technology,134162
29,Male,Masters,Government,28,Single,Software Engineer,Communication,Technology,90098
38,Male,Diploma,Unemployed,39,Divorced,Full Stack Developer,Networking,Technology,47273
35,Male,Bachelors,Private,53,Single,Data Scientist,Excel,Technology,64802
53,Female,PhD,Freelancer,38,Married,Full Stack Developer,Data Analysis,Technology,163917
28,Male,Bachelors,Unemployed,55,Divorced,Full Stack Developer,Communication,Technology,55710
31,Male,Diploma,Freelancer,40,Married,Data Scientist,Public Speaking,Technology,40921
58,Female,Bachelors,Unemployed,29,Widowed,Full Stack Developer,Networking,Technology,139226
20,Male,High School,Self-employed,42,Single,Full Stack Developer,Cloud Computing,Technology,42195
25,Female,Masters,Freelancer,22,Widowed,Cloud Architect,Leadership,Technology,82094
20,Male,PhD,Private,50,Married,DevOps Engineer,HTML/CSS,Technology,215285
42,Male,Masters,Freelancer,35,Widowed,Cloud Architect,Project Management,Technology,80594
52,Female,PhD,Self-employed,24,Married,Data Scientist,C++,Technology,213616
22,Male,Bachelors,Self-employed,27,Widowed,Full Stack Developer,Data Analysis,Technology,66376
49,Female,High School,Private,47,Married,Data Scientist,Communication,Technology,57144
30,Male,Masters,Unemployed,35,Divorced,Cloud Architect,SQL,Technology,81667
54,Male,PhD,Freelancer,53,Divorced,Cloud Architect,Machine Learning,Technology,103694
55,Female,Masters,Unemployed,44,Married,Data Scientist,Content Writing,Technology,73094
20,Male,Masters,Government,48,Widowed,Full Stack Developer,Leadership,Technology,151730
19,Female,Masters,Government,48,Divorced,Cloud Architect,Public Speaking,Technology,67014
50,Female,PhD,Freelancer,21,Married,Cloud Architect,Communication,Technology,151338
47,Female,High School,Self-employed,59,Divorced,DevOps Engineer,HTML/CSS,Technology,67925
32,Female,PhD,Unemployed,40,Divorced,Data Scientist,Python,Technology,219145
